sector,best_alpha,validation_mape
1,0.9,25.708190109265033
2,0.9,31.557863965498257
3,0.5,
4,0.3,27.635011475598848
5,0.5,
6,0.5,22.22129957586831
7,0.6,34.26958181519715
8,0.8,25.657285677267645
9,0.9,14.622590258003418
10,0.9,116.49172941660237
11,0.9,48.170045698762245
12,0.9,24.6335283274278
13,0.9,42.571790502591185
14,0.3,25.58773393158784
15,0.7,29.465462798263893
16,0.3,49.44709346845762
17,0.3,112.60080984424499
18,0.9,15.945665631797931
19,0.5,
20,0.9,31.81697865179486
21,0.3,15.815612063949272
22,0.5,
23,0.4,36.7844453199548
24,0.6,28.949137694231702
25,0.4,41.99607180881315
26,0.5,
27,0.9,41.467462084379086
28,0.9,23.267427976704006
29,0.8,20.483892711717832
30,0.6,31.33637348548571
31,0.9,37.76885194582596
32,0.5,
33,0.9,39.51955883278928
34,0.7,39.250394662931214
35,0.9,48.164090850332435
36,0.9,30.71303618841955
37,0.3,31.879800038400525
38,0.7,25.768046790053745
39,0.5,inf
40,0.5,
41,0.9,27.404555012492416
42,0.7,25.106867252952263
43,0.5,
44,0.9,33.17267182108127
45,0.8,25.814571613945354
46,0.7,24.966059724111698
47,0.9,19.704553484329722
48,0.3,61.72457314919062
49,0.3,20.290650606227317
50,0.9,37.4526491052329
51,0.5,
52,0.5,
53,0.8,40.42031505754161
54,0.9,28.697936412792373
55,0.7,25.073949493867403
56,0.3,124.19666066567459
57,0.9,31.011319171839265
58,0.3,100.0
59,0.8,36.2204469024294
60,0.5,62.34673070768261
61,0.3,61.80415790847936
62,0.9,25.423706877536056
63,0.3,30.3863387082197
64,0.7,59.21344572150487
65,0.3,23.888091524984876
66,0.3,57.08250116183241
67,0.7,25.932153905536808
68,0.9,36.071899331473595
69,0.9,24.140604847996393
70,0.9,37.48074767952197
71,0.9,48.729563490468145
72,0.3,100.0
73,0.9,18.98696939305656
74,0.5,
75,0.3,47.38887811010561
76,0.9,27.405908547426588
77,0.9,20.858781085609102
78,0.5,
79,0.9,58.34637010920807
80,0.9,29.385265583080983
81,0.3,33.886395994736105
82,0.3,44.09338630966891
83,0.9,21.77191943924567
84,0.9,12.115121886171544
85,0.9,25.076716201101558
86,0.5,
87,0.3,43.80422185475816
88,0.5,
89,0.5,
90,0.9,39.49879120324848
91,0.3,27.343416164038093
92,0.9,48.74741316603233
93,0.9,46.854345423436186
94,0.9,31.62996385634105
95,0.5,
96,0.9,37.159223005494034
